Study label,Country,Intervention,Participants (n),Female participants,Mean age,Duration of treatment,Target of intervention,Mode of intervention,Stimuli used,Target bias,Number of sessions
Stevens (2018),USA,CBM-I,41,31,20.8,Single session,interpretation,Computer,Sentences; imagined scenarios,Interpretation,1
Sun (2019),China,CBM-I,22,NR,NR,4 weeks,Interpretation bias,Smartphone,Sentences,Interpretation,8
Sun (2019),China, Control CBM-I,19,NR,NR,4 weeks,Interpretation bias,Smartphone,Sentences,Interpretation,8
Taylor (2011),USA, Control CBM-A,34,22,19.3,Single session,Approach bias,Computer,Faces,approach bias,1
Taylor (2011),USA,CBM-A,43,25,19.1,Single session,Approach bias,Computer,Faces,approach bias,1
Taylor (2012),USA,AAT,20,11,20.2,Single session,Approach bias,Computer,Faces,approach bias,1
Taylor (2012),USA, Control AAT,24,15,19.3,Single session,Approach bias,Computer,Faces,approach bias,1
Terashima (2024a),Japan,CBM-I,20,10,19.0,1 week,Interpretation bias,Computer; Smartphone; tablet,Sentences,Interpretation,7
Terashima (2024a),Japan, Waitlist,18,14,18.8,1 week,Interpretation bias,Computer; Smartphone; tablet,Sentences,Interpretation,7
Terashima (2024b),Japan,CBM-I,34,28,19.0,1 week,Interpretation bias,Computer; Smartphone; tablet,Sentences; pictures,Interpretation,7
Terashima (2024b),Japan, Waitlist,21,17,19.2,1 week,Interpretation bias,Computer; Smartphone; tablet,Sentences; pictures,Interpretation,7
Vassilopoulos (2009),Greece,CBM-I TAU,22,17,10.3,3 weeks,Interpretation bias,In person; situations read aloud,Spoken Sentences,Interpretation,3
Vassilopoulos (2009),Greece, TAU,21,13,10.6,3 weeks,Interpretation bias,In person; situations read aloud,Spoken Sentences,Interpretation,3
Vassilopoulos (2014),Greece,CBM-I,26,12,10.7,Single session,Interpretation bias,In person; either written or spoken,shapes; spoken Sentences,Interpretation,1
Vassilopoulos (2014),Greece,CBM-I,27,15,10.4,Single session,Interpretation bias,In person; either written or spoken,shapes; spoken Sentences,Interpretation,1
Vassilopoulos (2014),Greece, Opposite CBM-I,21,10,10.6,Single session,Interpretation bias,In person; either written or spoken,shapes; spoken Sentences,Interpretation,1
Vassilopoulos (2014),Greece, Opposite CBM-I,20,10,10.7,Single session,Interpretation bias,In person; either written or spoken,shapes; spoken Sentences,Interpretation,1
White (2019),USA,CBM-A,19,13,14.2,6 weeks,Attentional bias,Computer,Faces,Attentional,10
White (2019),USA,Control CBM-A,21,15,14.4,6 weeks,Attentional bias,Computer,Faces,Attentional,10
